ANO,MES,PODER,UO,UG,FONTE_MAE,NATUREZA3,VALOR_EMPENHADO
2024,1,JUD,2003,20003,500,333000000,494.4
2024,2,EXE,11504,410504,501,333000000,1449.0
2024,2,EXE,27524,510524,600,333000000,77967.43
2024,2,EXE,27524,510556,500,333000000,8000.0
2024,2,EXE,91997,910997,500,346000000,0.0
2024,2,JUD,2003,20003,500,331000000,150253.76
2024,2,EXE,14555,520555,500,333000000,552.0
2024,2,EXE,27524,510556,600,333000000,3966.79
2024,2,EXE,34051,340051,500,333000000,32805.0
2024,3,JUD,2003,20003,500,331000000,8340.63
2024,3,JUD,2003,20003,500,331000000,218428.93
2024,3,EXE,16537,520537,700,333000000,752.25
2024,3,JUD,2003,20003,500,333000000,644.25
2024,3,EXE,16514,510514,500,333000000,463500.0
2024,3,EXE,19033,540033,500,333000000,550.0
2024,3,EXE,11504,410504,501,333000000,1805.0
2024,3,JUD,2003,20003,500,333000000,0.0
2024,3,EXE,27524,510556,600,333000000,0.0
2024,2,EXE,27524,510556,500,333000000,4800.0
2024,3,EXE,11504,410504,501,333000000,0.0
2024,3,EXE,11504,410504,501,333000000,0.0
2024,3,EXE,11504,410504,501,333000000,947.18
2024,3,EXE,23542,530542,501,333000000,483.0
2024,3,JUD,2003,20003,500,333000000,670285.63
2024,3,EXE,19047,190047,500,333000000,1035.0
2024,3,EXE,18520,510520,500,333000000,176.0
2024,3,EXE,14566,140566,500,333000000,1147.13
2024,3,JUD,2561,20561,759,333000000,2000.0
2024,3,JUD,2003,20003,500,333000000,0.0
2024,3,EXE,91997,910997,500,333000000,0.0
2024,3,EXE,11008,110008,500,331000000,398.41
2024,2,EXE,23542,530542,501,333000000,1449.0
2024,3,EXE,13017,410017,500,331000000,841049.0
2024,3,EXE,18021,510021,500,333000000,0.0
2024,3,EXE,13017,410017,500,333000000,11967.87
2024,3,EXE,35538,530538,752,333000000,1586.52
2024,3,EXE,16026,520026,500,331000000,1328.99
2024,3,EXE,19036,540036,500,333000000,4284.13
2024,3,EXE,11013,210013,500,333000000,221.09
2024,3,EXE,26031,530031,500,333000000,1600.0
2024,3,EXE,27556,510556,500,331000000,231068.87
2024,3,EXE,11011,110011,500,333000000,175.0
2024,3,EXE,11009,110009,500,331000000,702.07
2024,3,EXE,19033,540033,500,333000000,0.0
