UO,DESCRICAO_UO,VALOR_DOTACAO_INICIAL,VALOR_ATUALIZADO,VALOR_EMPENHADO,PREVISAO,TOTAL,SALDO
11006,GABINETE CIVIL,17568076,17568076,14221393.28,6204477.07590769,20425870.3559077,-2857794.35590769
11008,CONTROLADORIA GERAL DO ESTADO,3547386,3547386,2258167.9,1197061.18582405,3455229.08582405,92156.9141759495
11009,PROCURADORIA GERAL DO ESTADO,60899473,60899473,45065037.36,22930738.0804897,67995775.4404897,-7096302.44048966
11013,GABINETE DO VICE-GOVERNADOR,1923628,1913628,1708194.99,1044303.05133021,2752498.04133021,-838870.041330212
11015,SECRETARIA DE ESTADO DE GOVERNANÇA CORPORATIVA,1878838,1878838,1152910.72,576455.36,1729366.08,149471.92
11504,AGÊNCIA REGULADORA DOS SERVIÇOS PÚBLICOS DO ESTADO DE ALAGOAS,1287599,1287599,817716.01,430528.71917465,1248244.72917465,39354.27082535
13017,"SECRETARIA DE ESTADO DO PLANEJAMENTO, GESTÃO E PATRIMÔNIO",20845104,20845104,13962088.2,9721355.81111868,23683444.0111187,-2838340.01111868
13510,COMPANHIA DE ADMINISTRAÇÃO DE RECURSOS HUMANOS E PATRIMONIAIS EM LIQUIDAÇÃO,400059,400059,173701.03,111619.452732039,285320.482732039,114738.517267961
13548,AGÊNCIA DE MODERNIZAÇÃO DA GESTÃO DE PROCESSOS,2629101,6929101,4202649.6,595267.411959943,4797917.01195994,2131183.98804006
13551,INSTITUTO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES DO ESTADO DE ALAGOAS,2419267,2419267,1498865.02,899045.602401898,2397910.6224019,21356.3775981022
13569,ALAGOAS PREVIDÊNCIA,5385787,7385787,4135638.11,4974348.61492081,9109986.72492081,-1724199.72492081
13570,FUNDO DE PREVIDÊNCIA DO ESTADO DE ALAGOAS,193814840.86,193814840.86,2891202.12,1353353.84133317,4244555.96133317,189570284.898667
13571,FUNDO FINANCEIRO DO ESTADO DE ALAGOAS,1781063089.95,1781063089.95,1360292789.87,656258556.296207,2016551346.16621,-235488256.216207
14030,"SECRETARIA DE ESTADO DA AGRICULTURA, PECUÁRIA, PESCA E AQUICULTURA",10047721,10047721,6517235.56,3386021.75722684,9903257.31722683,144463.682773165
14528,INSTITUTO DE DESENVOLVIMENTO RURAL E ABASTECIMENTO DE ALAGOAS,865474,865474,503180,269473.23771152,772653.23771152,92820.7622884796
14541,INSTITUTO DE TERRAS E REFORMA AGRÁRIA DE ALAGOAS,6472661,6472661,4042342.2,2174015.06457281,6216357.26457281,256303.735427186
14555,AGÊNCIA DE DEFESA E INSPEÇÃO AGROPECUÁRIA DE ALAGOAS,14325481,14325481,10218981.76,4401400.90718214,14620382.6671821,-294901.667182138
14566,INSTITUTO DE INOVAÇÃO PARA O DESENVOLVIMENTO RURAL SUSTENTÁVEL,3385948,1692974,935199.52,576117.470847092,1511316.99084709,181657.009152908
15024,SECRETARIA DE ESTADO DA ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,7196979,7196979,4765561.54,2608796.12703709,7374357.66703709,-177378.667037087
16026,"SECRETARIA DE ESTADO DA CIÊNCIA, DA TECNOLOGIA E DA INOVAÇÃO",2175497,2175497,1379143.72,730198.401027371,2109342.12102737,66154.8789726291
16506,INSTITUTO DE TECNOLOGIA EM INFORMÁTICA E INFORMAÇÃO,4611309,4611309,2695185.9,1563817.78993336,4259003.68993336,352305.31006664
16514,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE ALAGOAS,2468530,3468530,2064609.75,1022600.9410244,3087210.6910244,381319.308975598
16537,INSTITUTO DE METROLOGIA E QUALIDADE,2432836,3101536,2259148.36,2119239.81814606,4378388.17814606,-1276852.17814606
17010,SECRETARIA DE ESTADO DA COMUNICAÇÃO,2697880,2697880,1641356.65,969813.76821991,2611170.41821991,86709.5817800895
17517,INSTITUTO ZUMBI DOS PALMARES,7532661,7532661,5611550.6,3076698.12402761,8688248.72402761,-1155587.72402761
18021,SECRETARIA DE ESTADO DA CULTURA,4800400,4800400,2862746.74,1587247.77871884,4449994.51871884,350405.481281164
18520,DIRETORIA DE TEATROS DO ESTADO DE ALAGOAS,1378558,1378558,683625.51,348685.511280234,1032311.02128023,346246.978719766
19033,SECRETARIA DE ESTADO DA SEGURANÇA PÚBLICA,43228633,43228633,31444127.74,17108286.1481441,48552413.8881441,-5323780.88814407
19034,POLÍCIA MILITAR DO ESTADO DE ALAGOAS,728241771,728241771,549864548.67,253445522.403329,803310071.073329,-75068300.0733294
19035,POLÍCIA CIVIL DO ESTADO DE ALAGOAS,392201015,392201015,305972895.41,163026333.342318,468999228.752318,-76798213.7523181
19036,CORPO DE BOMBEIROS MILITAR DO ESTADO DE ALAGOAS,180431606,180431606,110978292.36,56994219.44894,167972511.80894,12459094.19106
19047,POLÍCIA CIENTÍFICA DO ESTADO DE ALAGOAS,38159090,38159090,29710274.18,14414231.3279561,44124505.5079561,-5965415.5079561
19512,DEPARTAMENTO ESTADUAL DE TRÂNSITO DE ALAGOAS,50229834,50229834,44018012.71,17703861.3311407,61721874.0411407,-11492040.0411407
19534,PROTEÇÃO SOCIAL DA POLICIA MILITAR DO ESTADO DE ALAGOAS,906822759.8,906472759.8,761514355.53,380757177.765,1142271533.295,-235798773.495
19536, PROTEÇÃO SOCIAL DO CORPO DE BOMBEIROS MILITAR DO ESTADO DE ALAGOAS,55785305.2,61124752.2,49891892.07,24945946.035,74837838.105,-13713085.905
20020,SECRETARIA DE ESTADO DA EDUCAÇÃO,1226973278.64,1257266317.5,778634613.35,525685858.370095,1304320471.7201,-47054154.2200954
20516,UNIVERSIDADE ESTADUAL DE ALAGOAS,48285436,48285436,36082868.73,19167387.4637644,55250256.1937644,-6964820.1937644
21018,SECRETARIA DE ESTADO DA FAZENDA,285142789,285142789,198809249.69,90230596.7393048,289039846.429305,-3897057.42930484
23032,SECRETARIA DE ESTADO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS,4466229.99,4466229.99,2791429.34,1543319.94378079,4334749.28378079,131480.706219214
23542,INSTITUTO DO MEIO AMBIENTE DO ESTADO DE ALAGOAS,7887186,7887186,5114141.37,2312816.43796779,7426957.80796779,460228.192032209
24037,SECRETARIA DE ESTADO DA MULHER E DOS DIREITOS HUMANOS,3715525,3715525,2319554.98,826704.006256904,3146258.9862569,569266.013743096
24038,SECRETARIA DE ESTADO DA CIDADANIA E DA PESSOA COM DEFICIÊNCIA,3787261,3787261,2275752.58,1137876.29,3413628.87,373632.13
